Access see Market access, EconomicOperand
subordinate notes and/or bonds (SND),,,,, EconomicOperand
subprime borrower characteristics, EconomicOperand
subprime crisis, US,,,,,,,,,,, , EconomicOperand
and bank runs, EconomicOperand
and capital requirements,, EconomicOperand
and the complexity of CDOs, EconomicOperand
increase in cash reserves, EconomicOperand
and liquidity requirements,, EconomicOperand
and securitization, EconomicOperand
securitization model, EconomicOperand
role of credit rating agencies,, EconomicOperand
and the shadow banking system, EconomicOperand
shadow bank funding and bank deposit funding, EconomicOperand
subprime mortgages see mortgages, residential, EconomicOperand
Suffolk Bank, Boston, Massachusetts, EconomicOperand
Suffolk system, EconomicOperand
Sumitomo Mitsui, EconomicOperand
sunspot phenomena,,, EconomicOperand
Suntrust Bank, US, EconomicOperand
supervision,, EconomicOperand
of agents duties, EconomicOperand
Core Principles for Effective Banking Supervision, EconomicOperand
desupervision, EconomicOperand
duties to the community, EconomicOperand
ethics of, EconomicOperand
EU example, EconomicOperand
and the European banking union, EconomicOperand
increased pressure, US, EconomicOperand
and international bank acquisitions, EconomicOperand
loopholes,, EconomicOperand
SIBS, cross-county comparisons, EconomicOperand
supervisory agencies, EconomicOperand
Survey of Consumer Finance (SCF), US,, EconomicOperand
swaps risk management, EconomicOperand
Swedbank, EconomicOperand
Sweden:, EconomicOperand
bank profitability, EconomicOperand
non-participation in SSM, EconomicOperand
SWIFT message transfer network,, EconomicOperand
Switzerland, EconomicOperand
syndicated loan market, EconomicOperand
systemic/market risk,,,,,,,,,,,,,,, EconomicOperand
after the GFC, EconomicOperand
aggregate shocks, EconomicOperand
assessment, EconomicOperand
and asymmetric information, EconomicOperand
banking crises, aggregate fluctuation and lending booms evidence, EconomicOperand
behavioural biases, EconomicOperand
and complexity (G-SIBS/SIFIs),Tab..Fig.. , EconomicOperand
concept of, EconomicOperand
contagion, EconomicOperand
contagion evidence, EconomicOperand
Contagion Value-at-Risk (CoVaR), EconomicOperand
credit boom/financial crises relationship, EconomicOperand
credit booms and unravelling of imbalances, EconomicOperand
efficient vs. self-fulfilling events, EconomicOperand
emergency liquidity assistance, EconomicOperand
empirical evidence, EconomicOperand
endogenous risk, EconomicOperand
events and crises, EconomicOperand
extreme-value theory (EVT), EconomicOperand
financial fragility hypothesis, EconomicOperand
fire sales, EconomicOperand
global games theory, EconomicOperand
interactions of retail depositors, EconomicOperand
interbank markets, EconomicOperand
and liquidity, EconomicOperand
macroeconomic fluctuations, EconomicOperand
measurement, EconomicOperand
micro/macro levels, EconomicOperand
network theory, EconomicOperand
payment and settlement systems, EconomicOperand
pervasive incentives, EconomicOperand
and public policy, EconomicOperand
role of short-term wholesale funding structures, EconomicOperand
and shadow banking, EconomicOperand
theoretical models, EconomicOperand
in wholesale payments, EconomicOperand
systematically important banks (SIBS) , EconomicOperand
capital requirements, Tab..Tab.. , EconomicOperand
cross-border legal issues, Tab.., EconomicOperand
domestic, EconomicOperand
Gand policy development, global level,, Tab.. , EconomicOperand
in the post-crisis eraTab.. , EconomicOperand
regulation and supervision, Fig.. Tab.. Fig..Tab..Tab..Tab.. Tab.. , EconomicOperand
resolution regimes,Tab.. , EconomicOperand
World Bank survey data, EconomicOperand
systematically important financial institutions (SIFIs),,,,,,,,, EconomicOperand
and the bankruptcy process, EconomicOperand
and complexity, EconomicOperand
G/FSB initiatives,Tab.. , EconomicOperand
insolvent, EconomicOperand
living wills, EconomicOperand
TAF see Term Auction Facility, EconomicOperand
Tanzania, EconomicOperand
Target payment system, Europe,, EconomicOperand
TARP see Troubled Asset Relief Program, EconomicOperand
tax:, EconomicOperand
corporate, EconomicOperand
and corporate structures, EconomicOperand
double taxation, EconomicOperand
evasion and avoidance, EU, EconomicOperand
and financial innovation, EconomicOperand
foreign tax credit, EconomicOperand
offshore benefits, EconomicOperand
zero tax countries, EconomicOperand
tax frictions, EconomicOperand
tax havens, EconomicOperand
Tax Reform Act US,, EconomicOperand
Taylor rule, EconomicOperand
TBTF see too big to fail, EconomicOperand
technology,, EconomicOperand
and financial innovation,,, EconomicOperand
innovation, Africa, EconomicOperand
and performance, EconomicOperand
and small business lending,,,, EconomicOperand
Temasek, EconomicOperand
Tequila crisis Mexico,,,,, EconomicOperand
term auction facility (TAF), US,,,,, EconomicOperand
Term Securities Lending Facility, EconomicOperand
textile industry, cross-country study, EconomicOperand
Thailand,,,,,,,,, EconomicOperand
microfinance, EconomicOperand
Thakor, Anjan V.,, EconomicOperand
Thomson Financial Securities Data, EconomicOperand
three-bank concentration ratio (CR ),,,, EconomicOperand
thrift crisiss), US, EconomicOperand
thrift institutions,,,,,, EconomicOperand
Tobin’s q-ratio,,, EconomicOperand
Tokyo Kyowa, EconomicOperand
too big to fail (TBTF),,,,,,,,,n,,,, EconomicOperand
vs. economies of scale , EconomicOperand
and market discipline, EconomicOperand
and moral hazard, EconomicOperand
and OLA, EconomicOperand
policies, EconomicOperand
risks of universal banking, EconomicOperand
toxic assets, EconomicOperand
total factor productivity (TFP),,,, EconomicOperand
trade theory, EconomicOperand
tranching,,,, EconomicOperand
transition countries, EconomicOperand
bad loans, EconomicOperand
banking in the financial crisis, EconomicOperand
bankruptcy laws,,,,, EconomicOperand
banks and SOEs,, EconomicOperand
concentration, EconomicOperand
consolidation,,, EconomicOperand
credit booms, EconomicOperand
and credit crunch, EconomicOperand
development of banking, EconomicOperand
emergence of banking, EconomicOperand
EU membership,, EconomicOperand
and European capital markets, EconomicOperand
financial depth,, EconomicOperand
first decade of transition Tab.. , EconomicOperand
foreign direct investment (FDI), EconomicOperand
foreign ownership,,,,,,,, EconomicOperand
future prospects, EconomicOperand
inflation rates Tab.., EconomicOperand
initial public offerings (IPOs), EconomicOperand
insolvency,, EconomicOperand
interest rate spreads Tab.., EconomicOperand
lending to enterprises, EconomicOperand
lending to households, EconomicOperand
maturation of banking, EconomicOperand
mortgage market, EconomicOperand
privatization,,,, EconomicOperand
reform of the banking sector, EconomicOperand
second decade of transition Tab.. , EconomicOperand
SOCBs,,,,,,, EconomicOperand
two-tier system, EconomicOperand
transparency regulation, EconomicOperand
Travellers merger with Citicorp , EconomicOperand
Troubled Asset Relief Program (TARP), US,,,,, EconomicOperand
Trust Indenture Act US, EconomicOperand
Trust Preferred Securities, EconomicOperand
Truth in Lending Act US,, EconomicOperand
tunnelling, EconomicOperand
Turkey, deposit insurance, EconomicOperand
Turner, Adair, EconomicOperand
UBS, Switzerland,,,, EconomicOperand
UCB, Uganda, EconomicOperand
Uchida, Hirofumi, , EconomicOperand
Udell, Gregory F., , EconomicOperand
Uganda, EconomicOperand
interest rate spreads, Tab.. , EconomicOperand
UK:, EconomicOperand
bank profitability, EconomicOperand
banking governance rules and codes, EconomicOperand
banking staff numbers, EconomicOperand
capital requirements, EconomicOperand
deposit insurance schemes, EconomicOperand
effect of higher capital requirements, EconomicOperand
female and part-time bank staff, EconomicOperand
financing structure,Fig..Fig.. , EconomicOperand
and GFC, EconomicOperand
housing market post-GFC, EconomicOperand
non-participation in SSM, EconomicOperand
number of bank branches, EconomicOperand
payment instruments, Tab.. , EconomicOperand
pensions schemes, EconomicOperand
regulatory reforms,, EconomicOperand
size of shadow banking sector, EconomicOperand
Vickers Commission,,,,,,,, EconomicOperand
Ukraine,,,, EconomicOperand
unbanked, EconomicOperand
underwriting, EconomicOperand
Unibanco, Brazil, EconomicOperand
Unicredit Group,,, EconomicOperand
unit banking, EconomicOperand
units of account,,, EconomicOperand
universal banking , EconomicOperand
and conflicts of interest, EconomicOperand
and economic efficiency, EconomicOperand
industrial development and human capital, EconomicOperand
and information technology, EconomicOperand
prohibited in US, EconomicOperand
stability, EconomicOperand
structural regulation, EconomicOperand
systemic effects, EconomicOperand
unwarranted withdrawals, EconomicOperand
Uruguay,,,, , EconomicOperand
US, EconomicOperand
asset distribution Tab.. , EconomicOperand
bank advertising expenditure fig.. , EconomicOperand
bank assets, EconomicOperand
bank boards, EconomicOperand
bank capital and liquidity creation,, EconomicOperand
bank failures, EconomicOperand
bank financial ratios Tab.. , EconomicOperand
bank ownership, EconomicOperand
bank size distribution Fig.. , EconomicOperand
banks’ culpability for the financial crisis, EconomicOperand
banks’ investment operations pre-Glass-Steagall Act, EconomicOperand
banking evolution of, EconomicOperand
banking industry structure,, EconomicOperand
banking innovation and technical change, EconomicOperand
banking outlook, EconomicOperand
banking strategies, EconomicOperand
bankruptcy code, EconomicOperand
and Basel III, EconomicOperand
branching deregulation,,, EconomicOperand
capital requirements,,, EconomicOperand
capitalization of investment banking, EconomicOperand
cash reserve requirements,, EconomicOperand
commercial bank charters Fig.. , EconomicOperand
commercial bank numbers, Fig.. , EconomicOperand
community banks,,,,,,, EconomicOperand
competition-fragility, EconomicOperand
compensation guidelines, EconomicOperand
consumer lending restrictions, EconomicOperand
credit/debit card interchange fees, EconomicOperand
debt-based compensation, EconomicOperand
diversification, EconomicOperand
financial industry consolidation dynamics Tab.., EconomicOperand
financial innovation,, EconomicOperand
financing structure,Fig..Fig.. , EconomicOperand
growth of consumer lending, EconomicOperand
historical securitization issuance,Tab.. , EconomicOperand
housing bubble,,,, EconomicOperand
housing market,,,,, EconomicOperand
housing subsidies, EconomicOperand
interstate regulation,, EconomicOperand
laws preventing consolidation and branching, EconomicOperand
liquidity requirements, EconomicOperand
local deposit markets, EconomicOperand
local loan markets,, EconomicOperand
merger wave, EconomicOperand
multimarket deposit markets, EconomicOperand
new banks, EconomicOperand
non-interest income,, Fig.. , EconomicOperand
payment instruments, Tab.. , EconomicOperand
restrictive government regulations, EconomicOperand
return-on-equity and equity-to-assets ratios Fig.. , EconomicOperand
risk management and tail risks, EconomicOperand
securities affiliates, EconomicOperand
securitization market, Fig.. , EconomicOperand
size of shadow banging sector,,, EconomicOperand
small business lending, EconomicOperand
thrift crisiss),, EconomicOperand
universal banking outlawed,, EconomicOperand
US see also Fannie Mae; FDIC; Federal Reserve; Freddie Mac; Ginnie Mae; Great Depression; individual banks; mortgages, residential; subprime crisis;, EconomicOperand
US Office of Thrift Supervision (OTS),,, EconomicOperand
US Steel, EconomicOperand
US Treasury bill futures,n, EconomicOperand
US Treasury securities, EconomicOperand
usury ceilings, EconomicOperand
usury laws, EconomicOperand
value at risk (VaR),,,,,,, EconomicOperand
contagion (CoVaR), EconomicOperand
value-maximizing,,, EconomicOperand
van Damme, E., EconomicOperand
VaR see value at risk, EconomicOperand
variable maturity mortgages, EconomicOperand
variable rate mortgages, EconomicOperand
Velvet Divorce (Czechoslovakia),, EconomicOperand
Venezuela,, EconomicOperand
financial crisis, EconomicOperand
venture capital financing, EconomicOperand
Very Long Term Refinancing Operations (VLTROs), EconomicOperand
Vickers Commission (Independent Commission on Banking), UK,,,,,,,, EconomicOperand
Vickers, Sir John, EconomicOperand
Vienna Initiative (VI), EconomicOperand
Vietnam,, EconomicOperand
Visa,,, EconomicOperand
Vitter, Senator David, EconomicOperand
